"Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2019,6,2,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","WHALE CAME IN ON THE BOW OF A CRUISE SHIP ENTERING LONG BEACH. VESSEL HAD LEFT MEXICO THE PREVIOUS NIGHT. LARGE AREA OF TRAUMA SURROUNDING A CREASE ON THE WHALES BACK JUST IN FRONT OF DORSAL FIN. CREASE WAS ALSO SURROUNDED BY BLUE PAINT. CREASE AND BLUE PAINT ARE LIKELY FROM ANIMAL BEING PINNED TO THE BOW OF THE SHIP. THERE IS HEMORRHAGING OBSERVED ON THE OPPOSITE SIDE OF THE BODY FROM WHERE THE CREASE WAS, IT IS BELIEVED THAT THE VESSEL COLLISION WAS ANTE-MORTEM. RIGHT PECTORAL FLIPPER BROKEN AT INSERTION AND JAWS WERE SEPARATED, BOTH OF THESE ARE BELIEVED TO BE POST-MORTEM.","DEAD","NA",1,"N","Y"
"UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2020,9,3,"UNIDENTIFIED FISHERY ENTANGLEMENT","SANTA BARBARA","CA","NSI","BLUE WHALE WITH HEALING LINEAR SCAR POSTERIOR TO DORSAL FIN THAT APPEARS TO HAVE BEEN CAUSED BY LARGE DIAMETER ROPE OR OTHER ENTANGLING MATERIAL. THERE ARE ALSO RAW ABRASIONS THE LENGTH OF THE CAUDAL PEDUNCLE AND ON THE ANTERIOR MARGIN OF THE DORSAL FIN, INDICATING THAT ENTANGLING MATERIAL SHIFTED TOWARDS THE BACK OF THE WHALE AT SOME POINT. ANOTHER, LARGER DIAMETER INDENTATION IS VISIBLE MID-BODY FROM UAV FOOTAGE, PRESUMABLY FROM THE SAME ENTANGLEMENT. WHALE WAS FREE-SWIMMING WITH NO GEAR ATTACHED, IN APPARENT GOOD HEALTH, DESPITE EVIDENCE OF A PREVIOUS CONSTRICTING ENTANGLEMENT. ASSIGNED NON-SERIOUS INJURY AS THE WHALE IS GEAR FREE AND IN APPARENT GOOD HEALTH. .","NSI","L2",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,2,"SHOOTING","PACIFIC","WA","DEAD","EXPOSED SKULL AND LARGE SUSPICIOUS HOLE DORSALLY ABOVE LEFT SCAPULA CONSISTENT WITH SHOOTING.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,3,"SHOOTING","PIERCE","WA","DEAD","RECOVERY OF THE BULLET FROM BRAIN AND THE MARKED HEMORRHAGE IN SKULL CONFIRM THE SEA LION WAS SHOT WHILE STILL ALIVE.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,7,"GILLNET FISHERY","SAN DIEGO","CA","SI","GILL NET AROUND NECK AND UNDER EAR. NET REMOVED AND ANIMAL WAS RELEASED ON SITE.","NSI","P7B",0,"Y","N"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,9,"AUTHORIZED MMPA SEC. 120 REMOVAL","WILLIAMETTE FALLS","OR","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,9,"HOOK AND LINE FISHERY","ORANGE","CA","SI","EMACIATED, DEHYDRATED ANIMAL WITH FISH HOOK IN MOUTH. NO DETAILS ON WHETHER HOOK WAS INTERNAL  -  EXTERNAL.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,13,"HOOK AND LINE FISHERY","ORANGE","CA","SI","UNDERWEIGHT ANIMAL WITH LINE AND HOOKS AROUND BODY.","SI","P6",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,15,"AUTHORIZED MMPA SEC. 120 REMOVAL","WILLIAMETTE FALLS","OR","ALIVE","REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,16,"HOOK AND LINE FISHERY","LOS ANGELES","CA","SI","MALNOURISHED ANIMAL WITH FISHING LINE AROUND NECK.","SI","P6",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2019,1,28,"HOOK AND LINE FISHERY","SAN DIEGO","CA","NSI","FISH HOOK IN LOWER RIGHT JAW - CHIN, CAME OUT WHEN NETTED. EXCELLENT BODY CONDITION. TAGGED AND RELEASED ON SITE.","NSI","P5C",0,"N","N"
